layer	token	position	expert	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error	maximum_bf16_vs_rust_absolute_error	maximum_bf16_vs_rust_relative_error
24	1	NA	NA	moe_residual_addition	1.09672546386718750e-5	3.39017642545513809e-5	1.69777702540159225e-2	6.21180534362792969e-2	9.90306854248046875e1
24	1	NA	NA	final_block_output	1.09672546386718750e-5	3.39017642545513809e-5	1.69777702540159225e-2	6.21180534362792969e-2	9.90306854248046875e1
47	0	0	54	expert_input	7.62939453125000000e-5	2.29381839744746685e-4	1.31020128726959229e-1	1.89534187316894531e-1	7.18772602081298828e0
47	0	0	54	gate_projection	3.91006469726562500e-5	1.19301941595040262e-4	2.92877200990915298e-3	6.03780746459960938e-2	4.70271635055541992e0
47	0	0	54	up_projection	2.05039978027343750e-5	7.63865973567590117e-5	3.86238805949687958e-2	7.53927230834960938e-2	2.04855084419250488e0
47	0	0	54	activated_gate	3.91006469726562500e-5	1.17801937449257821e-4	2.93332803994417191e-3	6.56533241271972656e-2	4.62828636169433594e0
47	0	0	54	activated_product	1.23977661132812500e-4	6.60465797409415245e-4	3.86225357651710510e-2	1.25070953369140625e0	4.62577390670776367e0
47	0	0	54	down_projection	2.28881835937500000e-4	1.40862329863011837e-3	5.31053403392434120e-3	4.57595825195312500e-1	2.13755607604980469e1
47	0	0	54	routing_weight	2.83122062683105469e-7	1.51203703353530727e-5	1.31166893879708368e-6	2.90098786354064941e-3	1.32616590708494186e-2
47	0	0	54	weighted_expert_output	9.91821289062500000e-5	2.98546394333243370e-4	5.31178526580333710e-3	6.09344482421875000e-1	2.11009025573730469e1
47	0	7	36	expert_input	7.62939453125000000e-5	2.29381839744746685e-4	1.31020128726959229e-1	1.89534187316894531e-1	7.18772602081298828e0
47	0	7	36	gate_projection	2.67028808593750000e-5	1.19301941595040262e-4	7.60414637625217438e-4	4.79001998901367188e-2	1.30161066055297852e1
47	0	7	36	up_projection	2.47955322265625000e-5	7.63865973567590117e-5	1.13916257396340370e-2	8.87699127197265625e-2	2.95584559440612793e0
47	0	7	36	activated_gate	2.67028808593750000e-5	1.17801937449257821e-4	7.62181996833533049e-4	5.50212860107421875e-2	1.30448856353759766e1
47	0	7	36	activated_product	2.19821929931640625e-4	6.60465797409415245e-4	1.13914450630545616e-2	2.30211257934570312e-1	1.31548414230346680e1
47	0	7	36	down_projection	4.69207763671875000e-4	1.40862329863011837e-3	4.89404611289501190e-2	4.42558288574218750e-1	5.19924087524414062e1
